RCP_SNO,CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_TIME_NM,RCP_PARTS_DTLS,INFO_NA,INFO_PRO,INFO_FAT,INFO_CAR,INFO_ENG,RCP_NA_TIP,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
11,호박죽,끓이기,채소류,밥/죽/떡,30분이내,"단호박 200g, 찹쌀가루 100g, 브로콜리 50g, 양파 60g, 볶은 현미 25g
버섯마늘소금 2g, 흰후추 1g, 치즈가루 15g",101.4,5.6,2.3,26.8,150.1,"호박죽의 감칠맛을 높이기 위해 버섯마늘소금과 치즈가루로 간을 하였다.
볶은 현미를 이용해 나트륨 사용을 줄여주고 고소함을 더했다.","1. 단호박은 껍질을 까고 작게 잘라주고, 양파도
작게 잘라준다.","2. 브로콜리는 뜨거운 물에 데쳐내 준 후 송송
잘라준다.",3. 찹쌀가루는 물 100g에 풀어준다.,4. 단호박과 양파는 물 300g에 삶아준다.,"5. 단호박과 양파가 익으면 믹서에 갈아서 다시
끓여준 뒤 찹쌀가루물을 넣어 끓여준다.","6. 호박죽이 끓어오르면 치즈가루를 넣어준 후
볶은 현미랑 완성한다."
12,차돌박이구이,굽기,소고기,메인반찬,30분이내,"재료 연근(30g), 미나리(20g), 오렌지(50g), 오렌지주스(50g)
차돌박이(60g), 어린잎채소(10g)
홍초물 설탕(5g), 홍초(20g), 물(10g)",32,8.88,8.33,9.64,210.2,염분이 많은 양념 대신에 오렌지와 홍초를 이용해 상큼한 맛을 살리면서 나트륨 함량을 줄였다,"1. 연근은 얇게 3㎜ 정도의 두께로 썰어
홍초물에 담가 절인다.","2. 미나리는 연근과 비슷한 길이로
썬다.","3. 오렌지는 껍질은 얇게 벗겨 채 썰고,
과육부분은 반달 모양으로 2조각
썬다.","4. 과육을 오렌지주스와 섞은 뒤 갈아
오렌지소스를 만든다.","5. 팬에 차돌박이를 펼친 뒤
오렌지소스를 조금씩 넣으며 익힌다.","6. 그릇에 연근초절임, 미나리,
어린잎채소, 차돌박이 순서로
담은 뒤 오렌지 껍질과
오렌지소스를 얹어 마무리한다."
13,수삼떡갈비,굽기,돼지고기,메인반찬,,"다진소고기(100g), 수삼(50g), 양파(20g), 대파(10g)
마늘(10g), 저염간장(10g), 후춧가루(0.05g), 정종(10g)
찹쌀가루(10g), 새송이(50g), 대추(20g), 통깨(2g)
어린잎(10g)
- 소스 : 저염간장(10g), 올리고당(20g), 설탕(5g), 육수(100g)",162.1,38.7,19.1,15.5,388.6,수삼의 향으로 나트륨 섭취를 줄였어요,"1. 수삼은 뇌두를 제거하고 양파와
대파, 마늘과 함께 다진다","2. 다진 소고기에 다진 재료(①)와 간장,
후춧가루, 정종, 찹쌀가루를 넣어
골고루 섞는다.","3. 대추는 씨를 제거하고 채를 썰어
곁들임채소로 준비하고, 새송이는
길이로 썰어 갈비뼈 모양으로 만들어
놓는다.","4. 양념이 된 소고기(②)를 새송이(③)에
감싸듯 타원형 모양으로 떡갈비를
만든다.","5. 만들어 놓은 떡갈비를 팬에 은근히
익힌다.","6. 간장과 올리고당, 설탕, 육수를 넣고
섞어가며 바글바글 끓인 뒤, 익힌 떡갈
비(⑤)를 넣고 살짝 졸인 후 접시에 담고,
그 위에 통깨를 살짝 뿌리고, 대추채(③)와
어린잎을 곁들임채소로 올려 완성한다."
14,황태두부무국,끓이기,건어물류,국/탕,15분이내,"황태 30g, 두부 50g, 함초 25g, 무 100g, 청고추 20g, 홍고추 15g
쪽파 10g, 흰후추 1g, 어간장 7g, 대파뿌리 7g",298.5,7.7,2.1,1,53.5,"황태 자체의 맛이 소금을 사용하지 않아도 음식에 맛과 풍미를 준다.
황태 국물을 이용해 감칠맛을 높이고 국간장 보다 염도가 낮은 어간장을 사용해 나트륨 함량을 줄였다.","1. 두부는 사방 1cm로 잘라주고, 무는 반은
나박썰기 하고 반은 국물을 낸다.","2. 두부는 사방 1cm로 잘라주고, 무는 반은
나박썰기 하고 반은 국물을 낸다.",3. 황태는 먹기 좋게 잘라준다.,"4. 황태, 대파뿌리, 함초, 무를 넣고 국물을 만든다.","5. 만들어진 국물에 함초와 대파뿌리를 건져내고
어간장으로 간을 해준다. 국물을 만들고 남은
무는 나박썰기 해서 국에 넣어준다.","6. 마지막에 두부를 넣어 끓여주고 먹기 직전에
청홍고추와 쪽파를 올려 완성한다."
15,칠리새우,볶음,해물류,양식,30분이내,"백새우 40g, 케첩 4g, 대파 6g, 녹말가루 3g, 밀가루 6g, 달걀 10g, 완두콩 4g, 식용유 5g, 참기름 0.5g [소스소개] 저나트륨칠리소스:두반장 1g, 고추기름 3g, 설탕 6g, 마늘 2g, 생강 0.2g, 청주 2g, 식초 3g",159,10.7,8.9,16.3,192.6,저나트륨 칠리소스는 고추기름 등을 넣어 매운맛을 내 저나트륨의 맛을 보완할수 있다.,1. 새우는 손질하여 물기를 제거한다.,"2. 달걀, 녹말가루, 밀가루로 튀김옷을 만들어 새우에 묻힌다.",3. 튀김옷을 입힌 새우를 170℃ 식용유에 두 번 튀겨낸다.,"4. 대파, 마늘, 생강은 다진다.","5. 팬에 고추기름을 두르고 2를 넣고 볶다가 청주, 두반장, 케첩을 첨가하여 볶은 후 물을 넣고 설탕, 식초로 간을 맞춘다.",6. 살짝 졸인 뒤 튀긴 새우와 완두콩을 넣고 물녹말로 농도를 맞추고 마지막으로 참기름을 넣는다.
16,영양밥,찜,채소류,밥/죽/떡,30분이내,"쌀 30g, 현미찹쌀 30g, 표고버섯 30g, 당근 30g, 대추 7.5g, 은행 3g, 밤 12g, 다시마 육수 20g [소스소개]저나트륨 간장양념장:간장 1g, 사과쥬스 4g, 겨자 0.5g, 참기름 3g, 깨소금 1g, 청고추 1g, 홍고추 1g",102,6.3,5.2,63.6,321.5,일품요리로 영양밥을 제공할 때는 저나트륨 간장양념장을 곁들여도 좋다.,1. 쌀과 현미찹쌀을 씻어 불린다.,"2. 표고버섯, 당근은 은행크기로 썬다",3. 대추도 돌려깍아 은행크기로 썬다.,"4. 1에 표고버섯, 당근, 대추와 은행, 밤을 고루 섞어 솥에 담는다.",5. 다시마 육수를 평상시 밥물보다 적게 넣고 밥을 짓는다.,6. 밥이 뜸이 들면 간장양념과 함께 제공한다.
17,해물볶음밥,볶음,해물류,밥/죽/떡,60분이내,"볶음밥 쌀(100g), 아스파라거스(5g), 새송이버섯(10g), 달걀(40g)
문어(20g), 새우살(20g), 주꾸미(15g)
미나리볶음고추장 무(20g), 우엉(10g), 미나리(5g),",681.9,7.28,2.99,26.9,493.2,"밥에 간을 따로 하지 않아 나트륨 함량을 줄이고 해산물 본연의 맛을 살렸다.
양념장을 따로 만들어 조금씩 비벼 먹으면 나트륨 섭취를 줄일 수 있다.","1. 쌀은 씻어서 체에 건져 1시간 이상
불린 후 동량의 물을 부어 밥을
짓는다.","2. 아스파라거스, 새송이버섯은 작게
깍둑 썰고, 무와 우엉, 미나리는
다진다.","3. 식용유(10g)를 두른 팬을 중간 불로
달궈 달걀을 넣고 스크램블로
볶는다.","4. 문어, 새우살, 주꾸미는 끓는 물에
살짝 데쳐 작게 자른다.","5. 식용유(15g)를 두른 팬을 중간 불로
달궈 밥을 넣어 볶다가 문어, 새우살,
주꾸미, 스크램블 에그를 넣고 조금
더 볶는다.","6. 무와 우엉에 고추장과 참기름,
물(40g)을 넣고 묽게 졸인 후 불을
끄고 미나리를 넣고 섞어
미나리볶음고추장을 만들어 밥에
곁들여 마무리한다."
18,고추잡채,볶음,콩/견과류,기타,,"돼지고기 30g, 청피망 30g, 죽순통조림 6g, 홍고추 1.4g, 표고버섯 7g, 소금 0.4g, 참기름 1g, 식용유 5g[소스소개] 고기 밑간 양념:후춧가루 0.1g, 정종 1g, 달걀 4g, 녹말가루 3g",147,6.2,11.7,4.9,150.6,돼지고기나 채소에는 밑간을 하지않고 마지막에 간을 한다. 꽃빵과 함께 제공하면 좋다.,1. 고추는 반으로 갈라 속을 제거한다.,2. 손질한 고추는 3cm 길이로 채썬다.,"3. 죽순, 표고버섯, 대파, 생강을 채썬다.",4. 돼지고기는 얇게 저민 후 0.3x5cm 길이로 곱게 채썰어 밑간 한다.,"5. 밑간 한 돼지고기를 달걀흰자, 녹말가루에 묻혀 놓는다.","6. 팬에 식용유를 넣고 생강을 볶아 향을 내고 채소, 고기를 넣어 볶다가 간을 한 다음 참기름을 두르고 굽는다."
19,라따뚜이,기타,채소류,메인반찬,15분이내,"토마토(150g), 가지(1/2개), 애호박(1/2개), 홀토마토(50g),
양파(30g), 월계수잎(1장), 파슬리(5g)",227.6,2.3,3.3,9.3,75.5,홀토마토를 사용하게 되면 별도의 나트륨을 넣지 않아도 맛있는 음식을 만들 수 있어요.,1. 토마토는 슬라이스 한다.,2. 홀토마토와 양파는 곱게 다진다.,3. 가지와 애호박은 둥글게 썬다.,4. 팬에 가지와 애호박을 굽는다,"5. 냄비에 다진 토마토를 넣고 볶다가
다진 양파, 월계수잎을 넣고 볶아
은근히 끓여서 소스를 만든다.","6. 파슬리는 곱게 다져 준비하고 접시에
토마토, 가지, 애호박을 돌려담고 그
위에 토마토소스를 올린 뒤 다진
파슬리를 올린다."
20,햄버거스테이크,굽기,돼지고기,메인반찬,60분이내,"다진 돼지고기(60g), 다진 소고기(60g), 다진 마늘(10g)
로즈마리(2g), 빵가루(20g), 후춧가루(0.2g), 파프리카(20g)
- 소스 : 양파(20g), 플레인요거트(20g), 설탕(10g)
매실액(10g), 식초(5g), 녹말가루(10g)
- 곁들임채소 : 어린잎(5g)",193.2,30.4,29.6,8,420.4,매실과 요거트의 새콤달콤한 맛이 나트륨 사용을 줄일 수 있어요.,"1. 돼지고기와 소고기를 섞어, 매실액을
넣고 30분 정도 냉장고에서 숙성을
시킨다.","2. 숙성된 돼지고기와 소고기에 다진마늘,
로즈마리, 빵가루, 후춧가루를 넣고
골고루 섞는다.","3. 파프리카는 반으로 잘라 그 안에 씨를
수저를 이용해서 파낸다.","4. 속을 파낸 파프리카에 양념한 고기를
넣고, 꼭꼭 눌러 두툼하게 잘라 구워
접시에 담는다.","5. 양파는 입자있게 다져 팬에 기름을
넣고 은근히 볶아 양파 향을 낸다.","6. 볶아진 팬(⑤)에 준비한 플레인요거트와
설탕, 매실액을 넣고 끓이다가, 식초와
녹말을 넣고 한 번 더 끓여 소스를
완성한다. 햄버거스테이트(④)에 소스를
얹고, 어린잎을 올려 완성한다."
21,가자미쑥국,끓이기,해물류,국/탕,30분이내,"가자미 50, 모시조개 15, 쑥 20, 물 200, 된장 9, 대파 4, 들깨가루 6",567.7,15.2,4.9,3.7,123.4,가자미 대신 도다리를 넣으면 맛이 한결 담백하다.,"1. 가자미는 비늘, 내장, 지느러미를 제거하고 3등분 한다.",2. 물에 된장을 풀어 끓인다.,3. 가자미와 모시조개를 넣고 20분 더 끓인다.,4. 쑥을 넣고 5분간 팔팔 끓인다.,5. 대파와 들깨가루를 넣어 살짝 끓여낸다.,"6. 그릇에 가자미, 쑥을 우선 담고 국믈을 곁에 부어주며 담아낸다."
22,황태미역국,끓이기,건어물류,국/탕,90분이내,"?필수 재료 : 건미역(2g), 황태(4g)
?육수 : 황태머리(5g), 다시마(1g), 표고버섯(1g), 대파(1g), 물(250g)
?양념 : 참기름(1g), 다진마늘(1g), 저염국간장(2g)",170.4,3.5,0.6,6.6,46,"?칼륨이 풍부한 미역을 식재료로 사용하고, 황태 및 채소를 통해 재료 본연의 맛을 살렸어요.",1. 물과 육수 재료를 넣고 끓여 육수를 만든다.,2. 끓인 육수를 체에 거른다.,"3. 건미역과 황태를 물에 불린 후, 먹기 좋은 크기로 썬다.",4. 냄비에 참기름을 두르고 미역과 황태를 넣어 볶는다.,5. 냄비에 육수를 넣고 끓인다,6. 다진마늘과 저염국간장으로 간을 맞춰 마무리한다.
23,채소비빔밥,비빔,채소류,밥/죽/떡,60분이내,"쌀 150g, 바지락 100g, 다진쇠고기 25g, 물 300g, 참기름 15g, 흰후추 1g, 다진마늘 15g
애호박 25g, 양파 25g, 오이 25g, 당근 25g, 표고 25g
두부볶음 : 두부 50g, 함초 25g, 깻잎 10g, 양파 20g, 다진파 15g, 다진마늘 15g",189.2,10.4,10.8,41.2,303.9,"두부볶음에 특유의 향과 맛을 내는 함초, 깻잎, 양파, 계란을 넣어 추가장을 하지 않고 맛있는 맛을 낸다.","1. 바지락은 해감을 시켜준 후 물에 넣어 바지락
육수를 만들어준다.","2. 바지락살은 따로 떼어내어 다진소고기와
다시 다져서 양념해 볶아준다.","3. 두부는 물기제거를 한 후 함초, 깻잎, 다진양파,
를 넣어 치대어 두부볶음을 만들어준다.","4. 애호박은 채 썰어주고 양파, 오이, 당근, 표고도
채 썰어 각각 볶아준다.",5. 볶은 바지락과 쌀을 넣어 밥을 한다.,"6. 몰드에 밥과 각종 채소들을 올려주고 마지막에
두부 스크램블을 올려 밥을 완성한다."
24,오징어순대,찜,해물류,메인반찬,30분이내,"통오징어(100g), 양파(20g), 당근(20g), 부추(20g)
견과류(20g), 두부(50g), 대파(10g), 마늘(10g), 소금(0.5g)
녹말가루(10g), 정종(10g), 레몬(10g), 생강(5g)",242.5,39.1,15.7,6.9,325.2,갖가지 채소를 넣은 오징어 순대는 따로 양념장을 찍어먹지 않아도 맛있어요.,"1. 통오징어는 다리를 떼어내고 내장을
제거시켜 통째로 깨끗이 씻어 준비
한다.","2. 양파와 당근, 부추, 생강은 입자있게
썰고, 견과류는 다져 준비한다.","3. 두부는 물기를 짠 후 수저로 으깨어
놓는다.","4. 잘게 썰은 오징어 다리와 썰어 놓은
채소, 견과류(②), 곱게 다진 대파와
마늘, 그리고 소금과 녹말가루를 두부
(③)와 함께 골고루 섞어 순대속을
만든다.","5. 손질된 오징어 속 안에 준비한 속을
채워 넣는다.","6. 오징어순대에 레몬즙과 정종, 생강즙을
섞어 바른 뒤 찜통에 김이 오르면
오징어순대를 넣어 약 10분 정도 쪄서
완성한다."
25,파프리카볶음밥,볶음,채소류,밥/죽/떡,30분이내,"당근(20g), 쥬키니호박(20g), 표고버섯(10g), 양송이버섯(10g)
파인애플(20g), 버터(10g), 밥(50g), 닭고기살(30g)
다진마늘(10g), 저염간장(10g), 양파(20g), 올리고당(10g)
토마토 페스트(10g), 토마토(20g), 파프리카 (50g), 달걀(30g)
모짜렐라치즈(20g), 파슬리가루(0.5g)",245.3,23.1,9.9,31.9,309,토마토 사용으로 나트륨 배출을 시킬 수 있었어요.,"1. 당근, 양파, 호박, 버섯은 입자있게
다지고, 파인애플은 작은 깍뚝썰기로
썰어 준비한다.","2. 닭고기살은 작게 썰어 팬에 저염간장과
양파, 다진마늘, 올리고당을 넣어
볶으면서 졸인다.","3. 팬에 버터를 녹인 후 준비한 밥을
넣고 볶는다.","4. 볶은밥(③)에 썰어놓은 채소(①)를
넣고, 다시 볶아준다.","5. 밥과 채소가 볶아지면, 닭고기살(②)을
넣고, 토마토 페스트와 토마토를
다져넣고 볶는다.","6. 파프리카의 속을 파내고, 그 안에
볶아진 밥(⑤)을 넣고, 달걀물을
씌우고 모짜렐라치즈를 뿌려 치즈가
녹을 때까지 팬에 뚜껑을 덮어
약불에서 익힌 후 파슬리가루를
올려 완성한다."
